"identificador";"nome";"avaliacao"
DRCN;International Conference on the Design of Reliable Communication Networks;A4
"17962056";JOURNAL OF NETWORKS;nulo
"1088467X";INTELLIGENT DATA ANALYSIS (PRINT);B2
"19343396";CURRENT PROTOCOLS IN BIOINFORMATICS;A1
"21784833";LATIN AMERICAN JOURNAL OF BUSINESS MANEGEMENT;nulo
"09210296";JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS;A2
"09067590";ECOGRAPHY (COPENHAGEN);A1
"01040588";REVISTA DE ESTUDOS DA LINGUAGEM;nulo
"16838602";JOURNAL OF DATA SCIENCE (ONLINE);nulo
PST;International Conference on Privacy, Security and Trust;A4
CDVE;International Conference on Cooperative Design, Visualization, and Engineering;B1
"15170306";PRINCIPIA (JOÃO PESSOA);nulo
CBSF;Congresso Brasileiro de Sistemas Fuzzy;B4
"14712121";BMC CELL BIOLOGY (ONLINE);A2
ICWS;IEEE International Conference on Web Services;A3
INTED;International Technology, Education and Development Conference;B2
SoCG;Symposium on Computational Geometry;A3
ICSEA-IARIA;IARIA International Conference on Software Engineering Advances;B4
"00313203";PATTERN RECOGNITION;A1
"20477481";JOURNAL OF SOFTWARE: EVOLUTION AND PROCESS (ONLINE);A4
"2176901X";REVISTA KAIRÓS (ONLINE);nulo
CBA;Congresso Brasileiro de Automática;B4
CSCI;INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND COMPUTATIONAL INTELLIGENCE;A4
"15334880";JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY (PRINT);A3
BIBM;IEEE International Conference on Bioinformatics and Biomedicine;A3
"10720502";LEARNING & MEMORY;A2
"07533322";BIOMEDICINE & PHARMACOTHERAPY;A2
CMBBE;International Symposium on Computer Methods in Biomechanics and Biomedical Engineering - 29;B4
ASID;International Conference on Anti-counterfeiting, Security, and Identification in Communication;B4
TAMIDA;SIMPOSIO TEORÍA Y APLICACIONES DE MINERÍA DE DATOS;B4
"21582440";SAGE OPEN;A1
"09241868";USER MODELING AND USER-ADAPTED INTERACTION;A1
"2158107X";INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;B3
"01679473";COMPUTATIONAL STATISTICS & DATA ANALYSIS (PRINT);A2
NETWORKS;International Telecommunications Network Strategy and Planning Symposium;B1
"17938309";DISCRETE MATHEMATICS, ALGORITHMS AND APPLICATIONS;B3
"19830823";REVISTA BRASILEIRA DE BIOMETRIA ONLINE;nulo
SAST;Brazilian Workshop on Systematic and Automated Software Testing;B1
ICASSP;IEEE International Conference on Acoustics, Speech and Signal Processing;A1
"17464811";PLANT METHODS;A1
"19390114";SECURITY AND COMMUNICATION NETWORKS;A2
INTERACT;IFIP TC 13 International Conference on Human-Computer Interaction;A3
"17517575";ENTERPRISE INFORMATION SYSTEMS (PRINT);A2
"19821867";REVISTA DE ENSINO DE BIOLOGIA DA ASSOCIAÇÃO BRASILEIRA DE ENSINO DE BIOLOGIA (SBENBIO);nulo
PATTERNS;International Conferences on Pervasive Patterns and Applications;B4
"21559597";JOURNAL OF BACTERIOLOGY & PARASITOLOGY;nulo
PPAM;INTERNATIONAL CONFERENCE ON PARALLEL PROCESSING AND APPLIED MATHEMATICS;B1
RePa;IEEE International Workshop on Requirements Patterns;B3
"12303429";TOPOLOGICAL METHODS IN NONLINEAR ANALYSIS;B1
CPA;Communicating Process Architectures;B3
"01687433";JOURNAL OF AUTOMATED REASONING;A2
ILA;Interaction Latin America;B4
ICAT;International Conference on Artificial Reality and Telexistence;B2
CSCN;IEEE Conference on Standards for Communications and Networking;B2
"16762592";EDUCAÇÃO TEMÁTICA DIGITAL;nulo
IIWAS;International Conference on Information Integration and Web-based Applications & Services;B1
IJCAI;International Joint Conference on Artificial Intelligence;A1
"20461402";F1000RESEARCH;A1
"00442275";ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK (PRINTED ED.);A1
"03406253";MATCH (MULHEIM);A2
"00039888";ARCHIVES OF DISEASE IN CHILDHOOD;A1
"15577929";JOURNAL OF BIONANOSCIENCE;B1
MTD;International Workshop on Managing Technical Debt;A4
ROSE;IEEE International Symposium on Robotic and Sensors Environments;B2
"13488503";INTERNATIONAL JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS RESEARCH;nulo
"16878450";JOURNAL OF ONCOLOGY;B3
"09288910";AUTOMATED SOFTWARE ENGINEERING;A2
"10518215";IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY (PRINT);A1
"17563305";PARASITES & VECTORS;A2
"21787107";JOURNAL OF INFORMATION AND DATA MANAGEMENT - JIDM;B1
ICMR;ACM International Conference on Multimedia Retrieval;A2
MoMM;International Conference on Advances in Mobile Computing & Multimedia;B2
LocalRec;International Workshop on Location-Based Recommendations, Geosocial Networks and Geoadvertising;B4
EUROITV;European Conference on Interactive TV and Video;B2
ICEIS;International Conference on Enterprise Information Systems;A3
"07437315";JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING;A2
ICVIIP;International Conference on Visualization: Imaging and Image Processing;B4
"00983500";ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;A1
DSRT;IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications;B2
"15700844";SEMANTIC WEB JOURNAL;A1
"23665971";INTERNATIONAL JOURNAL OF INTELLIGENT ROBOTICS AND APPLICATIONS;A4
BioCOMP-WC;International Conference on Bioinformatics & Computational Biology;B3
MCM;International Conference on Mathematics and Computation in Music;B2
ISMVL;IEEE International Symposium on Multiple-Valued Logic;B1
FPGA;Symposium on Field Programmable Gate Arrays;A2
"09567135";FOOD CONTROL;A1
"21508097";PROCEEDINGS OF THE VLDB ENDOWNMENT;A1
"17558050";INTERNATIONAL JOURNAL OF DATA ANALYSIS TECHNIQUES AND STRATEGIES;B1
"19839308";EXACTA (ONLINE);nulo
"1553877X";IEEE COMMUNICATIONS SURVEYS AND TUTORIALS;A1
FIT;INTERNATIONAL CONFERENCE ON FRONTIERS OF INFORMATION TECHNOLOGY;B2
"14364522";EDUCATIONAL TECHNOLOGY & SOCIETY;A1
"01698141";INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS;A3
"23169915";INTERNATIONAL JOURNAL OF COMPUTER ARCHITECTURE EDUCATION (IJCAE);B2
BIGDATASERVICE;IEEE International Conference on Big Data Computing Service and Applications;B1
"23498870";EUROPEAN JOURNAL OF BIOMEDICAL AND PHARMACEUTICAL SCIENCES;nulo
ECTA;International Conference on Evolutionary Computation Theory and Applications;B4
SOSP;ACM Symposium on Operating Systems Principles;A1
"20470398";BUSINESS MANAGEMENT REVIEW (BMR);nulo
"21945357";ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING;B2
NETWORKING;IFIP Networking Conference;A2
ESWC;Extended Semantic Web Conference;A2
TISE;Congreso Internacional de Informática Educativa;B4
"3DCVE";International Workshop on Collaborative Virtual Environments;B3
ACCV;Asian Conference on Computer Vision;A2
RFID;IEEE International Conference on RFID;A4
APPROX-RANDOM;APPROX-RANDOM;A3
FSE;Fast Software Encryption;A2
"00457906";COMPUTERS & ELECTRICAL ENGINEERING;A2
GLOBALDEV;Workshop of the AIS Special Interest Group for ICT in Global Development;B4
"17387906";INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY;nulo
MOBIWAC;ACM International Symposium on Mobility Management and Wireless Access;B2
"1110662X";INTERNATIONAL JOURNAL OF PHOTOENERGY (PRINT);A4
CRIWG;International Conference on Collaboration and Technology;B1
MOBILESOFT;International Conference on Mobile Software Engineering and Systems;A4
"1875905X";MOBILE INFORMATION SYSTEMS;A3
WRC;World Robot Conference;B4
CSEDU;International Conference on Computer Supported Education;A3
"00219541";JOURNAL OF CELLULAR PHYSIOLOGY (PRINT);A3
"21767181";REVISTA TCMRJ;nulo
"15309312";COMPUTATIONAL LINGUISTICS - ASSOCIATION FOR COMPUTATIONAL LINGUISTICS (ONLINE);A1
ACRI;International conference on Cellular Automata for Research and Industry;B3
"07391102";JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS;B1
"02776715";STATISTICS IN MEDICINE (PRINT);A2
CSEE&T;Conference on Software Engineering Education and Training;A4
"15305627";TELEMEDICINE JOURNAL AND E-HEALTH;A2
FoIKS;International Symposium on Foundations on Information and Knowledge Systems;B3
"15163687";PSICOLOGIA: TEORIA E PRÁTICA (IMPRESSO);nulo
"22371346";TRANSPORTES (RIO DE JANEIRO);nulo
ISEUD;UD - International Symposium on End-User Development;B4
AINAW;IEEE International Conference on Advanced Information Networking and Applications Workshops;A2
"14337479";SOFT COMPUTING;A1
ENERGY-IARIA;IARIA International Conference on Smart Grids, Green Communications and IT Energy-aware Technologies;B4
SSCI;IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE;A4
GREENS;International Workshop on Green and Sustainable Software;B1
ISVLSI;IEEE Computer Society Annual Symposium on VLSI;A3
"18155928";REVISTA DE INGENIERÍA ELECTRÓNICA, AUTOMÁTICA Y COMUNICACIONES;nulo
IVCNZ;International Conference Image and Vision Computing New Zealand;B2
"03043800";ECOLOGICAL MODELLING;A2
WADS;Algorithms and Data Structures Symposium;B1
"21663033";INFORMATION & CULTURE;nulo
WESB;Workshop de Engenharia de Software Baseada em Busca;B4
IWBBIO;International Work-Conference on Bioinformatics and Biomedical Engineering;A4
"10709908";IEEE SIGNAL PROCESSING LETTERS;A1
"17415047";INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY;nulo
"22383581";JORNAL BRASILEIRO DE TELESAÚDE;nulo
"22105379";SUSTAINABLE COMPUTING: INFORMATICS AND SYSTEMS;A2
FDL;Forum on Specification and Design Languages;B3
CSE;International Conference on Computational Science and Engineering;A4
FC;International Conference on Financial Cryptography and Data Security;A1
LADC;Latin-American Symposium on Dependable Computing;B2
"00015970";ACTA MECHANICA;A2
"15293785";ACM TRANSACTIONS ON COMPUTATIONAL LOGIC;A2
"15320464";JOURNAL OF BIOMEDICAL INFORMATICS;A1
"15178692";REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (IMPRESSO);B2
CCIS;Conference of Computational Interdisciplinary Science;B4
ASPRS;Annual Conference and International Lidar Mapping Forum;B4
"19807031";RIC@. REVISTA INTERDISCIPLINAR CIENTÍFICA APLICADA;nulo
"09259724";COMPUTER SUPPORTED COOPERATIVE WORK;A2
"08912017";COMPUTATIONAL LINGUISTICS (PRINT);A1
"19843534";PESQUISA OPERACIONAL PARA O DESENVOLVIMENTO;nulo
NDSS;Network and Distributed System Security Symposium;A1
"02545330";ANNALS OF OPERATION RESEARCH;A2
"14203049";MOLECULES (BASEL. ONLINE);A3
"17435889";NANOMEDICINE;A1
"18061877";ELETROEVOLUÇÃO (RIO DE JANEIRO);nulo
"00942405";MEDICAL PHYSICS (LANCASTER);A2
"01018205";MATEMÁTICA APLICADA E COMPUTACIONAL (CESSOU EM 1997. CONT. ISSN 1807-0302 COMPUTATIONAL & APPLIED MATHEMATICS);nulo
FDG;Foundations of Digital Games;A3
"15737497";APPLIED INTELLIGENCE (DORDRECHT. ONLINE);A3
ECCE;European Conference on Cognitive Ergonomics;B3
FG;Conference on Formal Grammar;B3
MICAI;Mexican International Conference on Artificial Intelligence;B1
"16764285";ONLINE BRAZILIAN JOURNAL OF NURSING;B3
MEDINFO;World Congress on Medical and Health Informatics;A3
"14769271";COMPUTATIONAL BIOLOGY AND CHEMISTRY (PRINT);A3
"09257535";SAFETY SCIENCE;A1
"09574174";EXPERT SYSTEMS WITH APPLICATIONS;A1
"18419836";INTERNATIONAL JOURNAL OF COMPUTERS, COMMUNICATIONS & CONTROL (PRINT);A3
"14639076";PCCP. PHYSICAL CHEMISTRY CHEMICAL PHYSICS (PRINT);A1
"03601315";COMPUTERS AND EDUCATION;A1
"15481603";GISCIENCE AND REMOTE SENSING;A1
"17542189";NATURE PROTOCOLS (PRINT);A1
"21682356";IEEE DESIGN AND TEST;A2
"00954616";APPLIED MATHEMATICS & OPTIMIZATION;A3
"09251030";ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING;B1
"10075704";COMMUNICATIONS IN NONLINEAR SCIENCE & NUMERICAL SIMULATION;A1
"22380507";PERSPECTIVAS EM CIÊNCIAS TECNOLÓGICAS;nulo
ITA;International Conference on Internet Technologies and Applications;B4
"11345632";MATHWARE & SOFT COMPUTING;nulo
FOIS;International Conference on Formal Ontology in Information Systems;B4
ARGMAS;International Workshop on Argumentation in Multiagent Systems;B4
"19835930";CULTURAS MIDIÁTICAS;nulo
"19749791";CHEMICAL ENGINEERING TRANSACTIONS;nulo
"11382783";REVISTA IBEROAMERICANA DE EDUCACIÓN A DISTANCIA;nulo
"16762789";LEARNING AND NONLINEAR MODELS;nulo
ICTAI;IEEE International Conference on Tools with Artificial Intelligence;A3
"15190501";PESQUISA BRASILEIRA EM ODONTOPEDIATRIA E CLÍNICA INTEGRADA (IMPRESSO);B2
ECMS;European Conference on Modelling and Simulation;B1
"09248463";ARTIFICIAL INTELLIGENCE AND LAW (DORDRECHT. PRINT);A1
"01206230";REVISTA FACULTAD DE INGENIERÍA UNIVERSIDAD DE ANTIOQUIA;B2
SMARTGRIDCOMM;IEEE International Conference on Smart Grid Communications;A3
"18688799";INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING;A4
"20557671";DIGITAL SCHOLARSHIP IN THE HUMANITIES (PRINT);A2
ICEC;IFIP International Conference on Entertainment Computing;A3
LISS;International Conference on Logistics, Informatics and Services Sciences;B4
"01628828";IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE;A1
IPPR;INTERNATIONAL CONFERENCE ON IMAGE PROCESSING AND PATTERN RECOGNITION;B3
"13811231";JOURNAL OF HEURISTICS;A3
"15168484";REVISTA BRASILEIRA DE HEMATOLOGIA E HEMOTERAPIA;B2
ISPD;ACM International Symposium on Physical Design;A3
"16761790";ENGENHARIA TÉRMICA;nulo
"16604601";INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;A3
"15730727";JOURNAL OF ELECTRONIC TESTING (DORDRECHT. ONLINE);B1
"00411132";TRANSFUSION (ARLINGTON, VA.);A3
ESSCIRC;European Solid State Circuits Conference;A3
"09505849";INFORMATION AND SOFTWARE TECHNOLOGY (IST);A1
DCCW;ACM Workshop on Distributed Cloud Computing;B3
"10577149";IEEE TRANSACTIONS ON IMAGE PROCESSING;A1
"09543007";EUROPEAN JOURNAL OF CLINICAL NUTRITION;A2
CICC;IEEE Custom Integrated Circuits Conference;A3
"15322882";JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY (PRINT);nulo
EANN;Internation Conference on Engineering Applications of Neural Networks;B2
APLAS;Asian Symposium on Programming Languages and Systems;B1
"00361445";SIAM REVIEW (PRINT);A1
"02676192";COMPUTER SYSTEMS SCIENCE AND ENGINEERING;B2
BraSNAM;Brazilian Workshop on Social Network Analysis and Mining;B3
ICALP;International Colloquium on Automata, Languages, and Programming;A2
"21801347";INTERNATIONAL JOURNAL OF HUMAN COMPUTER INTERACTION;nulo
"15775097";ELCVIA. ELECTRONIC LETTERS ON COMPUTER VISION AND IMAGE ANALYSIS;B3
"19961944";MATERIALS (BASEL);A4
RADECS;European Conference on Radiation Effects on Components and Systems;B1
ICCE;IEEE International Conference on Consumer Electronics;B1
COMMONSENSE;Symposium on Logical Formalizations of Commonsense Reasoning;B3
"00963003";APPLIED MATHEMATICS AND COMPUTATION;A1
"23190612";BRAZILIAN JOURNAL OF RADIATION SCIENCES;nulo
"15464261";COMPUTER ANIMATION AND VIRTUAL WORLDS;B1
CT-RSA;RSA Conference Cryptographers' Track;A2
FUSION;International Conference on Information Fusion;A2
FSKD;International Conference on Fuzzy Systems and Knowledge Discovery;B2
"10946977";IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS. PART C, APPLICATIONS AND REVIEWS;nulo
"00338419";RADIOLOGY;A1
"09758992";INTERNATIONAL JOURNAL OF UBICOMP;nulo
"22368434";JOURNAL OF APPLIED COMPUTING RESEARCH;nulo
"09070877";CYBERNETICS & HUMAN KNOWING;nulo
"21908508";JOURNAL OF CRYPTOGRAPHIC ENGINEERING;A3
ICHI;IEEE International Conference on Healthcare Informatics;A3
HPCS;International Conference on High Performance Computing & Simulation;A4
CANDAR;International Symposium on Computing and Networking;B3
"17980461";JOURNAL OF EMERGING TECHNOLOGIES IN WEB INTELLIGENCE;nulo
DARS;International Symposium on Distributed Autonomous Robotic Systems;B4
"11107243";JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY;nulo
"01678396";COMPUTER AIDED GEOMETRIC DESIGN;A3
"17560764";INTERNATIONAL JOURNAL OF COMPUTATIONAL BIOLOGY AND DRUG DESIGN (ONLINE);B4
SoSEC;Annual Systems-of-Systems Conference;A4
TPDL;International Conference on Theory and Practice of Digital Libraries;B1
SCSM;International Conference on Social Computing and Social Media;B2
"24682071";JOURNAL OF INFORMATION SYSTEMS ENGINEERING & MANAGEMENT;nulo
NMR;International Workshop on Non-Monotonic Reasoning;B3
"18675662";ADVANCES IN INTELLIGENT AND SOFT COMPUTING;nulo
"09268782";DISTRIBUTED AND PARALLEL DATABASES;A4
"19847238";LINHAS (FLORIANÓPOLIS. ONLINE);nulo
"19844751";REVISTA TECNOLOGIAS NA EDUCAÇÃO;nulo
WiSec;ACM Conference on Security & Privacy in Wireless and Mobile Networks;A3
IGSC;International Green and Sustainable Computing Conference;B2
CASCON;Annual International Conference on Computer Science and Software Engineering;B1
Hypertext;ACM Conference on Hypertext and Hypermedia;A3
CAV;International Conference on Computer Aided Verification;A1
IPDLN;International Population Data Linkage Network;B4
"21778736";REGE REVISTA DE GESTAO;nulo
"24699950";PHYSICAL REVIEW B;A1
"00906778";IEEE TRANSACTIONS ON COMMUNICATIONS (PRINT);A1
WALCOM;International Workshop on Algorithms and Computation;B2
"01635808";SIGMOD RECORD;A4
ASIACRYPT;Annual International Conference on the Theory and Applications of Cryptology and Information Security;A1
"03014215";ENERGY POLICY;A1
"15259293";ACIS INTERNATIONAL JOURNAL OF COMPUTER AND INFORMATION SCIENCE;nulo
IVS;Intelligent Vehicles Symposium;A1
"21751846";REVISTA ELETRÔNICA CIENTÍFICA INOVAÇÃO E TECNOLOGIA;nulo
EWSDN;European Workshop on Software Defined Networks;A4
CTE;International Conference on Computational Thinking Education;B4
PRIMA;nternational Conference on Principles and Practice of Multi-Agent Systems;B1
EM-GIS;International Workshop on the Use of GIS in Emergency Management;B4
ICCEBerlin;IEEE International Conference on Consumer Electronics Berlin;B1
"20589565";QUANTUM SCIENCE AND TECHNOLOGY;A1
TAC;Text Analysis Conference;B1
"1545598X";IEEE GEOSCIENCE AND REMOTE SENSING LETTERS (PRINT);A1
SIIM;Simpósio de Instrumentação e Imagens Médicas;B4
"19430620";JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING (PRINT);A1
"08997667";NEURAL COMPUTATION;A1
WNUT;Workshop on Noisy User-generated Text;B1
ECMR;European Conference on Mobile Robots;A3
"1206212X";INTERNATIONAL JOURNAL OF COMPUTERS & APPLICATIONS;B2
"10919856";INFORMS JOURNAL ON COMPUTING;A3
"22919694";JMIR MEDICAL INFORMATICS;nulo
"02180014";INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE;B1
"1089778X";IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;A1
JCDL;ACM/IEEE Joint Conference on Digital Libraries;A3
"08247935";COMPUTATIONAL INTELLIGENCE;A4
CSCWD;IEEE International Conference on Computer Supported Cooperative Work in Design;A3
"00185345";HORTSCIENCE;A4
"18951082";CENTRAL EUROPEAN JOURNAL OF PHYSICS (PRINT);A4
"18758533";APPLIED ONTOLOGY (ONLINE);A1
"22120963";CLIMATE RISK MANAGEMENT;A1
"18071775";REVISTA DE GESTÃO DA TECNOLOGIA E SISTEMAS DE INFORMAÇÃO (ONLINE);nulo
CSMR;European Conference on Software Maintenance and Reengineering;A3
PETS;Proceedings on Privacy Enhancing Technologies;A4
"20407939";INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING (PRINT);A2
CILAMCE;Iberian Latin American Congress on Computational Methods;B4
